Year,Mon,Week,Open,High,Low,Close,Volume
2012,01,2,59.0775,59.5875,58.935,59.4675,72009756
2012,01,3,60.46,60.57,59.986,60.248,65321254
2012,01,4,61.0275,61.225,60.5525,60.78,74712128
2012,01,5,62.712,63.008,62.074,62.47,121803987
2012,01,6,64.375,65.15,64.175,64.965,96405029
2012,02,1,65.3166666667,65.53,65.0033333333,65.2866666667,61975372
2012,02,2,67.594,68.74,67.474,68.46,124464743
2012,02,3,71.8,72.924,70.938,71.83,198279450
2012,02,4,73.3825,73.9675,72.905,73.81,129511606
2012,02,5,75.7533333333,76.74,75.1333333333,76.3633333333,174997386
2012,03,1,78.03,78.215,77.235,77.83,139370388
2012,03,2,76.708,77.42,75.452,76.608,167660967
2012,03,3,81.97,82.976,80.99,82.31,225106414
2012,03,4,85.682,86.418,84.64,85.856,170828182
2012,03,5,87.026,87.772,86.196,87.098,159880011
2012,04,2,88.5875,89.7,87.975,89.5,165447192
2012,04,3,90.042,90.764,88.534,89.112,182890499
2012,04,4,85.552,86.854,83.08,84.532,244824434
2012,04,5,84.806,85.236,83.438,84.36,194573152
2012,04,6,85.4,85.49,83.29,83.43,126535038
2012,05,1,83.3125,84.0675,82.34,82.685,122447501
2012,05,2,80.98,81.96,80.39,81.258,108553188
2012,05,3,78.782,79.386,77.22,77.656,141966766
2012,05,4,80.058,81.446,78.844,80.47,136771993
2012,05,5,81.9433333333,82.6433333333,81.1133333333,82.34,116819719
2012,06,1,81.31,81.81,80.07,80.14,130245094
2012,06,2,81.126,81.876,80.34,81.444,103705760
2012,06,3,82.256,82.62,81.272,81.864,100085510
2012,06,4,83.058,83.93,82.488,83.392,88611187
2012,06,5,82.094,82.544,81.414,82.01,74432300
2012,07,2,85.2575,86.2925,84.9575,85.99,96575804
2012,07,3,86.646,87.202,85.694,86.584,105014121
2012,07,4,87.056,87.466,86.324,86.822,84107256
2012,07,5,83.742,84.646,82.806,83.994,137061405
2012,07,6,85.3,86.51,85.035,86.125,105183323
2012,08,1,87.2566666667,87.86,86.42,87.16,88471849
2012,08,2,88.456,89.066,88.198,88.736,62720242
2012,08,3,90.224,91.074,90.016,90.772,78702132
2012,08,4,94.312,95.668,93.286,94.74,142443253
2012,08,5,96.232,96.424,95.34,95.802,76905281
2012,09,2,96.1625,96.8675,95.74,96.4975,89081228
2012,09,3,96.564,97.308,95.352,96.21,145149236
2012,09,4,100.03,100.32,99.532,100.072,100327435
2012,09,5,96.766,97.824,95.552,96.512,143220331
2012,10,1,95.264,95.862,93.904,94.616,128030639
2012,10,2,91.476,91.884,89.996,90.646,149651289
2012,10,3,91.066,91.772,89.67,90.62,129614389
2012,10,4,88.408,89.482,86.562,87.938,174357517
2012,10,5,84.98,85.99,83.96,85.05,127500471
2012,11,1,85.295,85.71,83.495,83.81,120102493
2012,11,2,81.39,82.006,79.498,80.292,184195057
2012,11,3,77.18,77.768,75.416,76.456,179149042
2012,11,4,80.1425,81.385,79.06,80.7075,131998539
2012,11,5,83.422,84.256,82.686,83.768,129547475
2012,12,2,80.762,81.544,78.428,79.466,196590885
2012,12,3,75.956,76.912,75.046,75.706,167239746
2012,12,4,74.508,75.384,73.602,74.86,145608964
2012,12,5,73.685,74.0875,72.95,73.495,80473732
2012,12,6,72.93,76.49,72.71,76.02,164872785
2013,01,1,78.0333333333,78.2533333333,76.5966666667,77.0533333333,125649225
2013,01,2,74.956,75.432,73.914,74.566,115117784
2013,01,3,71.556,72.254,70.652,71.328,161427443
2013,01,4,68.7525,69.4575,67.38,68.185,249492120
2013,01,5,64.655,65.545,64.1975,65.015,130817120
2013,02,1,65.59,65.64,64.05,64.8,134867089
2013,02,2,65.476,66.598,64.544,65.736,149095072
2013,02,3,67.33,68.08,66.518,66.904,117456025
2013,02,4,64.785,65.04,64.0025,64.4875,105619480
2013,02,5,63.935,64.535,62.9375,63.4925,111496050
2013,03,1,62.57,62.6,61.43,61.5,138111792
2013,03,2,61.086,61.888,60.396,61.118,127074103
2013,03,3,61.844,62.608,61.306,62.022,114689710
2013,03,4,64.662,65.604,64.072,65.056,110999415
2013,03,5,65.585,65.875,64.81,64.9825,98113685
2013,04,1,61.69,62.258,60.838,61.188,101253513
2013,04,2,61.348,61.862,60.902,61.516,77553995
2013,04,3,58.908,59.444,57.516,58.042,142195657
2013,04,4,57.462,58.814,57.08,58.166,160654985
2013,04,5,61.11,62.775,60.86,62.35,166482736
2013,05,1,63.69,64.13,63.0566666667,63.5633333333,107558889
2013,05,2,65.642,66.172,64.852,65.512,109329446
2013,05,3,63.052,63.772,61.882,62.72,126869128
2013,05,4,62.598,63.758,62.248,63.178,99046991
2013,05,5,63.8575,64.65,63.365,63.845,90933886
2013,06,2,63.676,64.222,62.868,63.586,88874168
2013,06,3,62.512,63.044,61.68,62.134,77514605
2013,06,4,60.918,61.378,60.196,60.488,80216116
2013,06,5,57.362,57.798,56.426,56.96,103953451
2013,07,1,59.07,60.0075,58.7,59.495,86016885
2013,07,2,60.112,60.782,59.54,60.34,76926180
2013,07,3,61.364,61.808,60.92,61.276,57279413
2013,07,4,62.012,62.392,61.418,61.866,79969842
2013,07,5,64.0833333333,64.9733333333,63.7566666667,64.46,73401738
2013,08,1,65.27,65.69,64.995,65.66,60128824
2013,08,2,66.256,66.688,65.648,66.146,73812229
2013,08,3,69.21,70.656,68.744,70.162,142767100
2013,08,4,72.17,72.584,71.532,71.86,83600885
2013,08,5,70.528,71.372,70.012,70.324,78740867
2013,09,2,71.12,71.5325,70.2575,70.74,79564044
2013,09,3,69.03,69.606,68.244,68.746,134043610
2013,09,4,66.31,66.914,65.448,65.994,125431555
2013,09,5,70.0,70.15,69.042,69.434,95433269
2013,09,6,68.18,68.81,67.77,68.11,65039408
2013,10,1,69.23,69.9275,68.625,69.4275,76543110
2013,10,2,69.698,70.208,69.042,69.65,72563751
2013,10,3,71.26,71.888,71.128,71.692,68860412
2013,10,4,74.67,75.548,73.89,74.974,98422609
2013,10,5,75.355,75.905,74.145,74.79,113506680
2013,11,1,74.86,74.97,73.69,74.29,68722304
2013,11,2,74.4,74.998,73.858,74.462,63770779
2013,11,3,74.43,75.034,74.136,74.654,61473546
2013,11,4,74.298,74.696,73.794,74.118,56690964
2013,11,5,76.105,77.3675,75.9375,77.1125,82022046
2013,12,2,80.58,81.192,79.868,80.298,104662790
2013,12,3,80.478,81.048,79.872,80.236,77679687
2013,12,4,78.652,79.29,78.164,78.762,91786542
2013,12,5,81.065,81.305,80.415,80.7775,68672229
2013,12,6,79.405,80.095,79.02,79.685,59613547
2014,01,1,79.18,79.34,78.03,78.15,78547913
2014,01,2,77.348,77.884,76.478,77.054,78740893
2014,01,3,77.942,78.81,77.452,78.126,88593170
2014,01,4,78.42,79.265,77.7775,78.6725,96709415
2014,01,5,73.156,73.864,72.476,73.09,164618952
2014,02,2,72.756,73.396,72.384,73.004,87070459
2014,02,3,76.096,77.148,75.89,76.838,75935706
2014,02,4,77.0175,77.4875,76.1975,76.4225,72536754
2014,02,5,74.926,75.6,74.206,74.882,73675112
2014,03,2,75.692,76.128,75.254,75.786,55314639
2014,03,3,76.13,76.568,75.572,75.972,57764168
2014,03,4,75.65,76.134,75.25,75.74,60839720
2014,03,5,77.278,77.59,76.654,77.094,68017838
2014,03,6,77.03,77.26,76.56,76.68,42167188
2014,04,1,77.19,77.4225,76.6175,76.9575,51188788
2014,04,2,75.014,75.5,74.37,74.866,62572993
2014,04,3,74.295,74.735,73.64,74.4125,60726867
2014,04,4,77.584,78.204,77.13,77.924,96523107
2014,04,5,83.77,85.2933333333,83.4233333333,84.5966666667,121979078
2014,05,1,84.595,84.93,84.005,84.575,54465495
2014,05,2,84.574,85.24,83.968,84.608,73319596
2014,05,3,84.436,85.134,84.094,84.766,52332736
2014,05,4,86.288,87.0,86.02,86.772,59133872
2014,05,5,89.56,90.5975,89.145,89.93,100315565
2014,06,2,91.312,92.062,90.684,91.542,82602419
2014,06,3,93.56,94.05,92.314,93.076,58629406
2014,06,4,92.046,92.518,91.368,91.846,47045495
2014,06,5,90.694,91.422,90.202,90.87,43251436
2014,06,6,92.1,93.72,92.09,92.93,49589028
2014,07,1,93.6833333333,94.0766666667,93.14,93.6766666667,29860101
2014,07,2,94.994,96.036,94.232,95.394,46365967
2014,07,3,95.656,96.172,94.202,94.814,49858916
2014,07,4,95.796,96.586,95.214,96.11,55278255
2014,07,5,98.1875,98.7075,97.2,97.7875,47078358
2014,08,1,94.9,96.62,94.81,96.13,48511286
2014,08,2,95.134,95.702,94.324,94.978,44605104
2014,08,3,96.538,97.192,96.03,96.936,35872706
2014,08,4,99.84,100.71,99.51,100.432,49466581
2014,08,5,101.844,102.384,101.32,101.862,47769243
2014,09,1,100.9525,101.605,99.35,99.8325,80790009
2014,09,2,99.602,101.426,98.53,100.088,92713846
2014,09,3,101.62,102.162,100.672,101.364,59470597
2014,09,4,100.72,101.878,99.688,100.814,67764988
2014,09,5,99.73,100.99,99.58,100.43,52515225
2014,10,1,99.7666666667,100.373333333,98.5933333333,99.5666666667,47572899
2014,10,2,100.074,101.258,99.474,100.184,56051631
2014,10,3,98.548,99.634,97.156,98.006,71707948
2014,10,4,102.688,103.526,102.05,103.054,71706583
2014,10,5,106.374,106.996,105.904,106.834,44046121
2014,11,2,108.806,109.44,108.04,108.914,39990562
2014,11,3,110.41,111.63,110.218,111.356,41033336
2014,11,4,115.214,116.628,114.374,115.382,46682937
2014,11,5,118.2825,119.255,117.4875,118.5375,45484388
2014,12,1,115.964,116.926,113.812,115.224,53340217
2014,12,2,112.284,113.894,110.686,111.964,51987584
2014,12,3,109.664,111.498,108.35,109.76,65771315
2014,12,4,112.5175,113.5125,112.1125,112.87,29849132
2014,12,5,113.416666667,113.94,112.006666667,112.27,32961249
2015,01,1,111.39,111.44,107.35,109.33,53204626
2015,01,2,108.786,109.936,107.13,108.832,56650523
2015,01,3,110.02,110.712,107.614,108.416,60845329
2015,01,4,109.8375,111.5625,109.005,110.9125,49684260
2015,01,5,115.7,116.83,113.91,114.722,93168536
2015,02,2,119.018,119.85,117.94,119.142,54151480
2015,02,3,122.966,124.334,122.462,124.032,60641357
2015,02,4,128.0525,129.0475,127.6875,128.625,48588735
2015,02,5,130.66,131.928,128.766,130.568,73643272
2015,03,2,128.858,129.496,127.346,128.0,49387698
2015,03,3,125.166,126.372,123.036,124.386,65302809
2015,03,4,126.756,127.816,125.49,126.772,53334595
2015,03,5,125.644,126.458,124.394,124.954,41865235
2015,03,6,125.07,126.445,124.18,125.4,44595111
2015,04,1,124.925,125.34,123.645,124.785,36420784
2015,04,2,125.952,127.164,125.04,126.524,36441482
2015,04,3,126.722,127.246,125.82,126.17,34237233
2015,04,4,127.89,129.248,127.106,128.616,41488135
2015,04,5,131.3925,131.785,128.4,129.25,90614920
2015,05,1,126.1,130.13,125.3,128.95,58512638
2015,05,2,127.132,127.894,125.506,126.478,54378396
2015,05,3,127.124,128.014,126.336,127.182,41660302
2015,05,4,130.148,131.436,129.714,130.85,43459485
2015,05,5,131.5075,132.1425,130.0425,130.93,49537141
2015,06,1,129.976,130.652,129.308,129.726,34168176
2015,06,2,128.176,129.028,127.178,127.972,44022917
2015,06,3,127.158,127.82,126.488,127.26,39705051
2015,06,4,127.742,128.532,127.018,127.4,39118800
2015,06,5,125.515,126.295,124.67,124.975,46766054
2015,07,1,126.665,126.815,125.88,126.52,28724881
2015,07,2,124.22,124.986,122.318,123.522,55143673
2015,07,3,126.722,127.494,126.12,127.244,37849006
2015,07,4,127.466,128.844,126.394,127.54,68853804
2015,07,5,122.908,123.246,121.912,122.562,38319702
2015,08,2,116.484,118.092,114.298,115.826,77000129
2015,08,3,115.446,117.26,113.608,115.912,69037065
2015,08,4,114.616,115.572,112.692,113.416,63557341
2015,08,5,107.492,111.27,104.422,108.552,99216441
2015,08,6,112.03,114.53,112.0,112.76,55962842
2015,09,1,110.46,111.8625,108.76,109.925,60010847
2015,09,2,111.8925,113.5175,110.4375,112.31,62643930
2015,09,3,115.326,116.15,114.062,115.074,54999515
2015,09,4,114.074,115.292,113.174,114.528,47532362
2015,09,5,112.283333333,113.206666667,109.676666667,110.6,63654937
2015,10,1,108.54,110.315,107.43,109.98,60654192
2015,10,2,110.576,111.47,109.188,110.898,52150936
2015,10,3,111.51,112.164,110.54,111.3,36488265
2015,10,4,113.848,115.246,113.012,114.768,44118465
2015,10,5,118.15,119.176,116.538,117.826,61609842
2015,11,2,121.416,122.634,120.546,121.546,38725151
2015,11,3,117.138,117.938,115.848,116.302,42964845
2015,11,4,115.78,117.29,115.086,116.648,37616019
2015,11,5,118.525,119.18,117.495,118.1175,27281404
2015,11,6,117.99,119.41,117.75,118.3,37658671
2015,12,1,116.655,118.24,115.5675,116.9625,41811610
2015,12,2,116.474,117.696,115.622,116.296,37770788
2015,12,3,111.224,111.848,108.746,109.864,63021291
2015,12,4,107.7375,108.235,106.7925,107.8,31658502
2015,12,5,107.535,108.2125,106.26,107.035,30940386
2016,01,2,101.23,102.566,99.494,100.434,68684402
2016,01,3,98.8,99.826,96.916,98.506,60414559
2016,01,4,97.3,99.045,95.5575,97.7925,60616726
2016,01,5,97.214,98.18,95.472,96.856,73305286
2016,02,1,95.854,96.768,94.528,95.576,43027459
2016,02,2,94.264,95.442,93.334,94.392,46033610
2016,02,3,96.6325,97.6775,95.6625,96.765,41215217
2016,02,4,95.988,96.912,95.124,96.268,31639529
2016,02,5,96.86,98.23,96.65,96.69,34876558
2016,03,1,100.2775,101.78,99.72,101.4475,41491903
2016,03,2,101.626,102.138,100.656,101.49,30989641
2016,03,3,104.468,105.474,104.074,104.958,36127160
2016,03,4,105.7825,107.065,105.285,106.1075,29586722
2016,03,5,107.315,108.575,106.855,107.855,30230801
2016,04,1,108.78,110.0,108.2,109.99,25626163
2016,04,2,109.804,110.818,109.036,109.818,28836358
2016,04,3,110.568,111.628,109.87,110.69,31914648
2016,04,4,107.07,107.69,105.874,106.634,37325362
2016,04,5,99.302,100.452,98.172,99.164,66430573
2016,05,2,94.146,94.648,92.886,93.794,44863388
2016,05,3,92.506,93.072,91.326,91.916,43057115
2016,05,4,94.076,94.874,93.328,94.27,42213936
2016,05,5,98.176,99.244,97.7,98.942,40677764
2016,05,6,99.6,100.4,98.82,99.86,42307212
2016,06,1,98.1366666667,98.55,97.47,98.0333333333,32623257
2016,06,2,98.658,100.132,98.426,99.016,24972875
2016,06,3,97.38,98.082,96.45,96.964,38346539
2016,06,4,95.208,96.152,94.592,95.212,41345784
2016,06,5,93.5775,94.2575,92.8925,93.9075,39858616
2016,07,1,95.49,96.46,95.33,95.89,26026540
2016,07,2,95.545,96.1125,95.125,95.785,28176490
2016,07,3,97.528,98.262,97.302,97.768,28582113
2016,07,4,99.47,100.178,99.024,99.55,29513091
2016,07,5,101.27,102.032,100.518,101.102,51314218
2016,08,1,105.424,106.342,104.928,105.934,34029824
2016,08,2,108.152,108.716,107.712,108.258,24901173
2016,08,3,108.974,109.686,108.602,109.304,26474281
2016,08,4,108.162,108.6,107.41,107.98,24721103
2016,08,5,106.026666667,106.836666667,105.81,106.306666667,26498883
2016,09,1,106.92,107.4,106.22,107.23,26518190
2016,09,2,106.905,107.5125,105.7375,106.1775,42200932
2016,09,3,109.574,111.88,109.18,111.13,78061873
2016,09,4,114.172,114.804,112.75,113.606,40219127
2016,09,5,112.79,113.676,112.184,113.03,31276807
2016,10,2,113.436,113.984,112.848,113.304,25205888
2016,10,3,116.948,117.806,116.104,116.86,41741676
2016,10,4,117.286,117.62,116.128,117.16,23106286
2016,10,5,115.724,116.574,115.034,115.938,42045113
2016,10,6,113.65,114.23,113.2,113.54,26419398
2016,11,1,111.0925,111.9575,109.855,110.4375,32481780
2016,11,2,109.696,110.702,107.918,109.714,41453795
2016,11,3,108.102,109.322,107.066,108.564,39534810
2016,11,4,111.225,111.9475,110.6725,111.6375,23533105
2016,11,5,111.27,112.23,110.576666667,111.183333333,30628330
2016,12,1,109.765,110.515,108.94,109.695,31807429
2016,12,2,110.386,111.742,109.902,111.232,30397932
2016,12,3,114.804,116.07,114.418,115.094,39003140
2016,12,4,116.256,117.062,116.088,116.692,22664578
2016,12,5,116.785,117.5325,116.13,116.6425,21207132
2017,01,2,116.0875,116.965,115.6975,116.6725,25961367
2017,01,3,118.694,119.532,118.372,119.228,27762152
2017,01,4,119.5475,120.32,119.2575,119.9425,29086996
2017,01,5,120.756,121.56,120.55,121.164,24949689
2017,01,6,121.04,121.51,120.64,121.49,39789248
2017,02,1,127.773333333,129.69,127.65,128.786666667,56734250
2017,02,2,131.026,132.038,130.748,131.68,27289830
2017,02,3,134.568,135.382,134.112,134.976,27333499
2017,02,4,136.4875,137.0025,135.9175,136.75,21977214
2017,02,5,137.11,137.44,136.49,136.96,21870143
2017,03,1,138.89,140.086666667,138.316666667,139.51,28065563
2017,03,2,139.072,139.54,138.38,139.136,19934456
2017,03,3,139.856,140.37,139.366,139.866,24307901
2017,03,4,141.022,141.844,140.136,140.856,25934795
2017,03,5,142.378,143.704,141.788,143.278,25401751
2017,04,2,143.84,144.634,143.35,143.898,21083230
2017,04,3,142.5125,142.94,141.255,141.9125,21871413
2017,04,4,141.686,142.304,141.088,141.684,17849700
2017,04,5,143.978,144.382,143.402,143.858,18230756
2017,05,1,146.302,147.78,145.728,147.328,35070353
